         n                epsilon               fill             exp_error            variance             theory       
       25000                0.7                 0.25              0.282507            0.000005            0.285923      
       25000                0.7                 0.5               0.493147            0.000025            0.490093      
       25000                0.7                 0.75              0.636818            0.000005            0.635887      
       25000                0.7                 0.95              0.721642            0.000024            0.721880      
       130000               0.15                0.25              0.015118            0.000000            0.014146      
       130000               0.15                0.5               0.050256            0.000000            0.050055      
       130000               0.15                0.75              0.098933            0.000001            0.099892      
       130000               0.15                0.95              0.145897            0.000004            0.145885      
       750000               0.05                0.25              0.000485            0.000000            0.000482      
       750000               0.05                0.5               0.005736            0.000000            0.005670      
       750000               0.05                0.75              0.021442            0.000000            0.021276      
       750000               0.05                0.95              0.043388            0.000000            0.043368      
