        size              epsilon              delta              avg_abs           avg_rel (%)     
        norm              0.020000            0.100000            1754.56             29835.51      
        big               0.020000            0.100000            8075.13             31539.53      
        norm              0.020000            0.010000            1706.41             28383.79      
        big               0.020000            0.010000            7888.44             30688.93      
        norm              0.020000            0.001000            1695.29             31029.44      
        big               0.020000            0.001000            7801.89             29326.20      
        norm              0.010000            0.100000             850.63             13958.67      
        big               0.010000            0.100000            3920.10             15242.75      
        norm              0.010000            0.010000             827.76             15229.56      
        big               0.010000            0.010000            3841.43             14507.05      
        norm              0.010000            0.001000             818.40             12804.51      
        big               0.010000            0.001000            3782.38             14451.76      
        norm              0.005000            0.100000             411.57             7569.46       
        big               0.005000            0.100000            1895.36             7140.20       
        norm              0.005000            0.010000             391.98             6858.56       
        big               0.005000            0.010000            1839.76             6784.21       
        norm              0.005000            0.001000             387.81             7106.01       
        big               0.005000            0.001000            1785.01             7042.88       
